action: move[$x],action: move[$y],states: location[$x],states: location[$y]
1.0,1.0,0.0,0.0
1.0,1.0,1.0099985572927355,1.0099985572927355
1.0,1.0,2.0199734485305636,2.0199734485305636
1.0,1.0,3.0295365716814375,3.0295365716814375
1.0,1.0,4.031969549915778,4.031969549915778
1.0,1.0,4.92043405185564,4.92043405185564
1.0,1.0,5.042484784149483,5.042484784149483
1.0,1.0,5.112495148713411,5.112495148713411
1.0,1.0,5.2802585404006095,5.2802585404006095
1.0,1.0,5.667076175730135,5.667076175730135
1.0,1.0,6.413851245510914,6.413851245510914
0.6121573933186388,0.6121573933186388,7.387842606681361,7.387842606681361
-0.004695204872970038,-0.004695204872970038,8.00469520487297,8.00469520487297
4.5039036567828816E-5,4.5039036567828816E-5,7.999954960963432,7.999954960963432
-4.3179204034515806E-7,-4.3179204034515806E-7,8.00000043179204,8.00000043179204
4.139639742106738E-9,4.139639742106738E-9,7.99999999586036,7.99999999586036
-3.9687364505880396E-11,-3.9687364505880396E-11,8.000000000039687,8.000000000039687
3.801403636316536E-13,3.801403636316536E-13,7.99999999999962,7.99999999999962
-3.552713678800501E-15,-3.552713678800501E-15,8.000000000000004,8.000000000000004
0.0,0.0,8.0,8.0
0.0,0.0,8.0,8.0
0.0,0.0,8.0,8.0
0.0,0.0,8.0,8.0
0.0,0.0,8.0,8.0
0.0,0.0,8.0,8.0
0.0,0.0,8.0,8.0
0.0,0.0,8.0,8.0
0.0,0.0,8.0,8.0
0.0,0.0,8.0,8.0
0.0,0.0,8.0,8.0
0.0,0.0,8.0,8.0
0.0,0.0,8.0,8.0
0.0,0.0,8.0,8.0
0.0,0.0,8.0,8.0
0.0,0.0,8.0,8.0
0.0,0.0,8.0,8.0
0.0,0.0,8.0,8.0
0.0,0.0,8.0,8.0
0.0,0.0,8.0,8.0
0.0,0.0,8.0,8.0
