action: resupply[$c1],action: resupply[$c2],action: resupply[$c3],action: resupply[$c4],states: quant[$c1],states: quant[$c2],states: quant[$c3],states: quant[$c4]
49,0,285,0,0,0,0,0
0,471,0,0,49,0,285,0
0,0,337,27,44,173,283,0
6,0,333,0,39,165,296,15
0,0,0,499,40,157,294,9
232,0,0,232,35,149,292,24
0,0,0,400,51,141,290,18
339,0,0,0,46,133,288,33
422,0,0,0,62,125,286,27
76,126,0,290,78,117,284,21
0,61,0,273,94,109,282,15
0,379,0,0,89,122,280,30
0,79,284,0,84,114,278,24
328,42,0,0,79,127,297,18
345,0,0,0,74,119,295,12
384,0,0,0,90,111,293,6
0,148,181,132,106,103,291,0
0,0,100,386,101,110,304,15
0,0,109,387,96,102,302,9
42,449,0,0,91,94,312,15
0,336,0,154,95,86,310,9
0,261,0,228,90,99,308,24
0,281,219,0,85,91,306,18
0,0,0,269,80,104,325,12
0,0,0,463,75,96,323,6
0,27,0,269,70,88,321,21
120,0,0,335,65,101,319,36
177,0,38,229,60,93,317,30
288,0,100,100,76,85,315,24
0,123,0,164,92,77,313,18
124,0,139,61,87,90,311,33
20,0,0,364,82,82,309,27
0,0,0,423,97,74,307,22
0,0,124,280,92,66,305,37
80,0,383,35,87,58,324,52
187,81,0,118,82,50,322,46
0,335,67,0,98,42,320,40
68,75,296,0,93,55,339,34
145,0,327,0,88,47,337,28
87,0,0,365,104,39,335,22
0,0,0,223,120,31,333,16
0,152,0,325,115,23,331,31
154,0,0,89,110,36,329,46
70,5,92,301,105,28,327,40
0,0,356,0,121,20,325,34
400,0,0,0,116,12,344,28
0,373,0,116,132,4,342,22
0,352,125,0,127,17,340,33
0,287,54,0,122,13,342,27
0,459,2,1,117,22,357,21
19,0,0,206,112,18,357,16
309,70,0,0,125,10,355,10
18,127,0,304,141,2,353,4
460,0,0,0,149,0,351,0
0,285,198,0,151,0,349,0
248,0,134,0,146,7,354,0
0,67,0,387,148,0,352,0
435,0,0,10,143,7,350,7
247,25,170,0,151,0,348,1
0,462,0,15,154,0,346,0
187,216,0,0,149,7,344,7
75,0,0,265,157,0,342,1
0,412,0,67,160,0,340,0
218,0,38,85,155,7,338,7
0,0,0,330,163,0,336,1
0,0,457,0,158,0,334,8
41,265,50,0,153,0,345,2
0,137,0,311,157,0,343,0
250,0,0,87,152,7,341,7
92,375,0,0,160,0,339,1
129,0,0,291,163,0,337,0
0,268,42,137,165,0,335,0
0,97,26,250,160,7,340,7
467,0,0,0,155,6,344,7
0,16,0,465,157,0,342,1
0,0,252,0,152,8,340,8
0,291,0,126,147,0,351,2
0,332,78,13,142,9,349,9
123,0,94,0,137,13,359,15
111,0,0,368,132,5,357,9
0,0,273,138,142,0,355,3
0,0,144,145,137,0,363,10
59,0,342,0,132,0,364,7
0,0,0,382,137,0,362,1
191,0,0,0,132,0,360,8
133,0,0,282,140,0,358,2
0,442,0,0,144,0,356,0
154,221,10,0,139,7,354,0
0,0,144,283,148,0,352,0
47,0,0,94,143,0,357,7
207,0,233,0,144,0,355,1
0,231,119,0,147,0,353,0
0,183,22,279,142,7,358,0
0,0,86,177,137,7,363,7
440,0,0,0,132,0,367,7
36,0,342,0,134,0,365,1
0,0,268,0,137,0,363,0
8,0,289,0,132,0,368,0
0,457,8,0,134,0,366,0
144,334,0,0,129,7,371,0
0,0,120,142,0,0,0,0
0,0,123,342,0,0,120,142
0,491,0,0,0,0,241,382
85,389,0,0,0,0,239,376
0,0,141,243,0,0,237,370
32,137,187,0,0,0,235,364
56,0,0,292,0,0,233,358
23,381,0,51,0,0,231,352
0,0,427,0,0,0,229,346
0,0,28,392,0,0,227,340
0,480,0,0,0,0,225,334
162,0,0,314,0,0,223,328
0,116,0,283,0,0,221,322
0,0,157,326,0,0,219,316
491,0,0,0,0,0,217,310
123,38,60,201,0,0,215,304
